Degrees,Force
79.47,-0.02
79.56,0.00
79.65,0.00
79.74,0.02
79.83,0.02
79.92,0.00
80.01,0.02
80.1,0.00
80.19,0.00
80.28,0.00
80.37,0.00
80.46,-0.02
80.55,0.00
80.64,-0.02
80.73,-0.02
80.82,0.02
80.91,0.00
81,0.02
81.09,0.00
81.18,-0.02
81.27,-0.02
81.36,-0.02
81.45,0.00
81.54,0.00
81.63,0.00
81.72,0.00
81.81,0.00
81.9,-0.02
81.99,0.00
82.08,0.02
82.17,0.00
82.26,0.02
82.35,0.00
82.44,0.00
82.53,0.00
82.62,0.02
82.71,0.02
82.8,0.00
82.89,0.00
82.98,0.00
83.07,0.00
83.16,0.00
83.25,0.00
83.34,-0.02
83.43,0.00
83.52,0.00
83.61,0.02
83.7,-0.02
83.79,0.00
83.88,0.02
83.97,0.00
84.06,0.02
84.15,0.00
84.24,0.00
84.33,0.00
84.42,-0.02
84.51,0.00
84.6,0.00
84.69,0.02
84.78,0.00
84.87,0.00
84.96,0.00
85.05,-0.02
85.14,0.00
85.23,0.02
85.32,0.00
85.41,-0.02
85.5,0.00
85.59,0.00
85.68,0.02
85.77,0.02
85.86,0.00
85.95,0.02
86.04,0.00
86.13,0.00
86.22,-0.02
86.31,0.04
86.4,-0.02
86.49,0.00
86.58,0.00
86.67,-0.02
86.76,0.00
86.85,-0.02
86.94,0.00
87.03,0.02
87.12,-0.02
87.21,0.02
87.3,0.00
87.39,0.00
87.48,-0.02
87.57,0.00
87.66,0.00
87.75,0.00
87.84,-0.02
87.93,0.00
88.02,-0.02
88.11,0.00
88.2,0.02
88.29,0.00
88.38,0.00
88.47,0.00
88.56,-0.02
88.65,-0.02
88.74,0.00
88.83,0.00
88.92,0.00
89.01,0.00
89.1,0.00
89.19,-0.02
89.28,0.02
89.37,0.02
89.46,-0.02
89.55,0.00
89.64,0.00
89.73,-0.02
89.82,0.00
89.91,0.00
